norm_group	norm	count
ⲁϫⲛⲡⲁⲣⲁⲃⲟⲗⲏ	ⲁϫⲛ|ⲡⲁⲣⲁⲃⲟⲗⲏ	1
ⲛⲉⲓⲕⲟⲟⲩⲉ	ⲛⲉⲓ|ⲕⲟⲟⲩⲉ	1
ⲛⲃⲁⲗ	ⲛ|ⲃⲁⲗ	1
ⲛⲃⲟⲗ	ⲛ|ⲃⲟⲗ	1
ⲡⲉⲛⲧⲱϣ	ⲡⲉⲛ|ⲧⲱϣ	1
ⲡⲉⲛⲣⲣⲟ	ⲡⲉⲛ|ⲣⲣⲟ	1
ⲛⲣⲉϥϣⲟⲟⲣ	ⲛ|ⲣⲉϥϣⲟⲟⲣ	1
ⲛⲏⲧⲛ	ⲛⲏ|ⲧⲛ	1
ⲛⲛⲉϩ	ⲛ|ⲛⲉϩ	1
ⲛⲑⲁⲃ	ⲛ|ⲑⲁⲃ	1
ⲛⲛⲟϭ	ⲛ|ⲛⲟϭ	1
ⲛⲧⲟϥⲡⲉ	ⲛⲧⲟϥ|ⲡⲉ	1
ⲧⲃⲗⲗⲏ	ⲧ|ⲃⲗⲗⲏ	1
ⲛⲥⲕⲁⲛⲇⲁⲗⲟⲛ	ⲛ|ⲥⲕⲁⲛⲇⲁⲗⲟⲛ	1
ⲛⲓⲟⲩⲇⲁⲥ	ⲛ|ⲓⲟⲩⲇⲁⲥ	1
ⲛⲕⲟⲧ	ⲛ|ⲕⲟⲧ	1
ⲛⲕⲱⲃ	ⲛ|ⲕⲱⲃ	1
ⲛⲕⲱⲧ	ⲛ|ⲕⲱⲧ	1
ⲛϩⲁⲅⲓⲟⲥ	ⲛ|ϩⲁⲅⲓⲟⲥ	1
ⲛⲙⲛⲁ	ⲛⲙ|ⲛⲁ	1
ⲛⲛⲁⲓ	ⲛ|ⲛⲁⲓ	1
ⲛⲛⲁⲩ	ⲛ|ⲛⲁⲩ	1
ⲛⲥⲟϭ	ⲛ|ⲥⲟϭ	1
ⲛⲛⲓⲙ	ⲛ|ⲛⲓⲙ	1
ⲛⲛⲕⲁ	ⲛ|ⲛⲕⲁ	1
ⲛϩⲩⲡⲟⲕⲣⲓⲧⲏⲥ	ⲛ|ϩⲩⲡⲟⲕⲣⲓⲧⲏⲥ	1
ⲛⲟⲩⲁ	ⲛ|ⲟⲩⲁ	1
ⲛⲣⲁⲛ	ⲛ|ⲣⲁⲛ	1
ⲛⲣⲁⲧ	ⲛ|ⲣⲁⲧ	1
ⲛⲥⲃⲱ	ⲛ|ⲥⲃⲱ	1
ⲛⲁⲓⲁⲧⲟⲩ	ⲛⲁⲓⲁⲧ|ⲟⲩ	1
ⲉⲡⲱⲣϫ	ⲉ|ⲡⲱⲣϫ	1
ⲛⲥⲟⲛ	ⲛ|ⲥⲟⲛ	1
ⲛⲱⲛϩ	ⲛ|ⲱⲛϩ	1
ⲛⲧⲉⲓ	ⲛ|ⲧⲉⲓ	1
ϩⲱⲱⲧⲉ	ϩⲱⲱ|ⲧⲉ	1
ⲛⲥⲁⲧⲉⲉⲣⲉ	ⲛ|ⲥⲁⲧⲉⲉⲣⲉ	1
ⲛⲧⲉⲗⲁⲁⲩ	ⲛⲧⲉ|ⲗⲁⲁⲩ	1
ⲡⲉϫⲁϥ	ⲡⲉϫⲁ|ϥ	1
ϩⲓⲧⲛⲧⲏⲩⲧⲛ	ϩⲓⲧⲛ|ⲧⲏⲩⲧⲛ	1
ϥⲙⲡϣⲁ	ϥ|ⲙⲡϣⲁ	1
ϫⲉⲣⲟⲉⲓⲥ	ϫⲉ|ⲣⲟⲉⲓⲥ	1
ⲡⲉϫⲁⲓ	ⲡⲉϫⲁ|ⲓ	1
ⲡⲉϫⲁⲩ	ⲡⲉϫⲁ|ⲩ	1
ⲉⲣⲟⲉⲓ	ⲉⲣⲟ|ⲉⲓ	1
ⲉⲣⲟⲟⲩ	ⲉⲣⲟ|ⲟⲩ	1
ⲁϩⲉⲣⲁⲧϥ	ⲁϩⲉⲣⲁⲧ|ϥ	1
ⲉⲣⲱⲧⲛ	ⲉⲣⲱ|ⲧⲛ	1
ⲉⲧⲉϣϣⲉ	ⲉⲧ|ⲉϣϣⲉ	1
ⲉⲧⲉϣϣⲉ	ⲉⲧⲉ|ϣϣⲉ	1
ⲙⲡⲟⲗⲉⲙⲟⲥ	ⲙ|ⲡⲟⲗⲉⲙⲟⲥ	1
ⲙⲡⲓⲗⲁⲧⲟⲥ	ⲙ|ⲡⲓⲗⲁⲧⲟⲥ	1
ⲉⲥⲃⲧⲉ	ⲉ|ⲥⲃⲧⲉ	1
ⲥⲁⲁⲧϥ	ⲥⲁⲁⲧ|ϥ	1
ⲙⲛⲛⲥⲱϥ	ⲙⲛⲛⲥⲱ|ϥ	1
ⲛⲉϥϩⲟⲉⲓⲧⲉ	ⲛⲉϥ|ϩⲟⲉⲓⲧⲉ	1
ⲛϫⲓⲛϫⲏ	ⲛ|ϫⲓⲛϫⲏ	1
ⲙⲡ̣[…]ⲡⲟⲥ	ⲙ|ⲡ̣[…]ⲡⲟⲥ	1
ⲡⲉⲙⲛⲟⲩⲧ	ⲡⲉ|ⲙⲛⲟⲩⲧ	1
ⲛⲉϥⲙⲟⲉⲓⲧ	ⲛⲉϥ|ⲙⲟⲉⲓⲧ	1
ϫⲉⲥⲱⲧⲙ	ϫⲉ|ⲥⲱⲧⲙ	1
ⲟⲩⲙⲁ	ⲟⲩ|ⲙⲁ	1
ⲟⲩⲡⲉ	ⲟⲩ|ⲡⲉ	1
ⲛⲣⲉϥϭⲉⲡⲣⲱⲙⲉ	ⲛ|ⲣⲉϥϭⲉⲡⲣⲱⲙⲉ	1
ⲡⲃⲁⲣⲟⲥ	ⲡ|ⲃⲁⲣⲟⲥ	1
ⲉⲥⲱⲣⲙ	ⲉ|ⲥⲱⲣⲙ	1
ⲧⲁⲓⲁⲕⲱⲃⲟⲥ	ⲧⲁ|ⲓⲁⲕⲱⲃⲟⲥ	1
ϯϩⲟⲙⲟⲗⲟⲅⲉⲓ	ϯ|ϩⲟⲙⲟⲗⲟⲅⲉⲓ	1
ⲕⲁⲁⲛ	ⲕⲁⲁ|ⲛ	1
ⲕⲁⲁⲩ	ⲕⲁⲁ|ⲩ	1
ϫⲉⲧⲓⲟⲩ	ϫⲉ|ⲧⲓⲟⲩ	1
ⲡⲉⲣⲟ	ⲡ|ⲉⲣⲟ	1
ⲡⲕⲁϩ	ⲡ|ⲕⲁϩ	1
ⲛⲧⲁⲉⲓⲟ	ⲛ|ⲧⲁⲉⲓⲟ	1
ⲡⲏⲉⲓ	ⲡ|ⲏⲉⲓ	1
ⲡⲏⲣⲡ	ⲡ|ⲏⲣⲡ	1
ⲡⲟⲟϩ	ⲡ|ⲟⲟϩ	1
ⲡⲕⲉⲧ	ⲡ|ⲕⲉⲧ	1
ⲛⲉⲛⲧⲟⲗⲏ	ⲛ|ⲉⲛⲧⲟⲗⲏ	1
ⲧⲙⲉϩⲥⲛⲧⲉ	ⲧ|ⲙⲉϩⲥⲛⲧⲉ	1
ⲡⲥⲁϩ	ⲡ|ⲥⲁϩ	1
ⲛⲧⲉⲧⲛⲙⲉϣ	ⲛⲧⲉⲧⲛ|ⲙⲉϣ	1
ⲡⲣⲁⲛ	ⲡ|ⲣⲁⲛ	1
ⲡⲣⲡⲉ	ⲡ|ⲣⲡⲉ	1
ⲛⲉⲫⲁⲣⲓⲥⲥⲁⲓⲟⲥ	ⲛⲉ|ⲫⲁⲣⲓⲥⲥⲁⲓⲟⲥ	1
ⲡⲧⲏⲩ	ⲡ|ⲧⲏⲩ	1
ⲉⲉⲩⲁⲅⲅⲉⲗⲓⲍⲉ	ⲉ|ⲉⲩⲁⲅⲅⲉⲗⲓⲍⲉ	1
ⲉⲧⲱⲕⲙ	ⲉ|ⲧⲱⲕⲙ	1
ⲙⲡⲉⲧⲣⲁ	ⲙ|ⲡⲉⲧⲣⲁ	1
ⲙⲙⲱⲩⲥⲏⲥ	ⲙ|ⲙⲱⲩⲥⲏⲥ	1
ⲛⲉϩⲟⲟⲩ	ⲛⲉ|ϩⲟⲟⲩ	1
ⲛϣⲁϫⲉ	ⲛ|ϣⲁϫⲉ	1
ⲟⲩⲉϩⲧⲏⲩⲧⲛ	ⲟⲩⲉϩ|ⲧⲏⲩⲧⲛ	1
ⲉⲁⲛⲉⲭⲉ	ⲉ|ⲁⲛⲉⲭⲉ	1
ⲟⲩⲇⲓⲱⲅⲙⲟⲥ	ⲟⲩ|ⲇⲓⲱⲅⲙⲟⲥ	1
ⲉⲓⲥϩⲏⲏⲛⲉ	ⲉⲓⲥ|ϩⲏⲏⲛⲉ	1
ⲟⲩⲃⲏⲩ	ⲟⲩⲃⲏ|ⲩ	1
ⲡⲱϣⲥ	ⲡⲱϣ|ⲥ	1
ⲙⲛⲙⲛⲧⲁⲕⲁⲑⲁⲣⲧⲟⲥ	ⲙⲛ|ⲙⲛⲧⲁⲕⲁⲑⲁⲣⲧⲟⲥ	1
ⲛⲛⲁⲣⲇⲟⲥ	ⲛ|ⲛⲁⲣⲇⲟⲥ	1
ⲛⲁⲧⲙⲡϣⲁ	ⲛ|ⲁⲧⲙⲡϣⲁ	1
ϣⲁⲁⲣⲏϫⲥ	ϣⲁ|ⲁⲣⲏϫⲥ	1
ⲉⲧⲱⲟⲩⲛ	ⲉ|ⲧⲱⲟⲩⲛ	1
ⲥⲉϣⲓⲛⲉ	ⲥⲉ|ϣⲓⲛⲉ	1
ϫⲉⲉϣⲱⲡⲉ	ϫⲉ|ⲉϣⲱⲡⲉ	1
ⲛⲁⲧⲛⲟⲩⲧⲉ	ⲛ|ⲁⲧⲛⲟⲩⲧⲉ	1
ⲛⲥⲁϩⲟⲟⲩ	ⲛⲥⲁ|ϩⲟⲟⲩ	1
ⲙⲙⲟϥ	ⲙⲙⲟ|ϥ	1
ⲛⲉϥⲣⲱⲙⲉ	ⲛⲉϥ|ⲣⲱⲙⲉ	1
ⲡⲉϥⲟⲩⲟⲉⲓ	ⲡⲉϥ|ⲟⲩⲟⲉⲓ	1
ⲙⲙⲟⲓ	ⲙⲙⲟ|ⲓ	1
ⲙⲙⲟⲛ	ⲙⲙⲟ|ⲛ	1
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ	1
ⲙⲙⲟⲩ	ⲙⲙⲟ|ⲩ	1
ϩⲉⲛϭⲉⲣⲟⲟⲃ	ϩⲉⲛ|ϭⲉⲣⲟⲟⲃ	1
ⲟⲩϣⲡⲏⲣⲉ	ⲟⲩ|ϣⲡⲏⲣⲉ	1
ⲙⲡⲣⲣ	ⲙⲡⲣ|ⲣ	1
ⲙⲛⲁⲛⲧⲓⲭⲣⲓⲥⲧⲟⲥ	ⲙⲛ|ⲁⲛⲧⲓⲭⲣⲓⲥⲧⲟⲥ	1
ⲉⲧⲉⲧⲛϣⲁⲛϩⲱⲡ	ⲉⲧⲉⲧⲛϣⲁⲛ|ϩⲱⲡ	1
ⲛⲉϭⲙⲏⲩ	ⲛⲉ|ϭⲙⲏⲩ	1
ⲛⲉⲛϩⲓⲥⲉ	ⲛⲉⲛ|ϩⲓⲥⲉ	1
ϩⲉⲛⲉⲓⲱ	ϩⲉⲛ|ⲉⲓⲱ	1
ⲉⲃⲁⲡⲧⲓⲍⲉ	ⲉ|ⲃⲁⲡⲧⲓⲍⲉ	1
ⲧⲁⲉⲓ	ⲧⲁ|ⲉⲓ	1
ⲧⲉⲏⲡ	ⲧⲉ|ⲏⲡ	1
ⲛⲉⲥⲟⲟⲩ	ⲛ|ⲉⲥⲟⲟⲩ	1
ⲛⲓⲙⲛ	ⲛⲓⲙ|ⲛ	1
ⲛⲉϥⲥⲱⲛⲉ	ⲛⲉϥ|ⲥⲱⲛⲉ	1
ⲛⲥⲱϥ	ⲛⲥⲱ|ϥ	1
ⲟⲩⲥⲕⲁⲛⲇⲁⲗⲟⲛ	ⲟⲩ|ⲥⲕⲁⲛⲇⲁⲗⲟⲛ	1
ⲧⲛⲁⲩ	ⲧ|ⲛⲁⲩ	1
ⲛⲇⲓⲕⲁⲓⲟⲛ	ⲛ|ⲇⲓⲕⲁⲓⲟⲛ	1
ⲧⲏⲣⲧⲛ	ⲧⲏⲣ|ⲧⲛ	1
ⲉⲥⲁϩⲟⲩ	ⲉ|ⲥⲁϩⲟⲩ	1
ⲛⲥⲱⲓ	ⲛⲥⲱ|ⲓ	1
ⲛⲥⲱⲕ	ⲛⲥⲱ|ⲕ	1
ⲛⲥⲱⲛ	ⲛⲥⲱ|ⲛ	1
ⲟⲩϩⲣϣⲓⲣⲉ	ⲟⲩ|ϩⲣϣⲓⲣⲉ	1
ⲧⲛⲥⲏϣ	ⲧⲛ|ⲥⲏϣ	1
ⲧⲛⲟⲃⲉ	ⲧⲛ|ⲟⲃⲉ	1
ϫⲉⲅⲟⲗⲅⲟⲑⲁ	ϫⲉ|ⲅⲟⲗⲅⲟⲑⲁ	1
ϩⲓⲉⲃⲓⲱ	ϩⲓ|ⲉⲃⲓⲱ	1
ⲉⲧϫⲟⲡϫⲡ	ⲉⲧ|ϫⲟⲡϫⲡ	1
ⲉⲕϣⲁⲛϭⲛ	ⲉⲕϣⲁⲛ|ϭⲛ	1
ⲙⲛⲃⲉⲛⲓⲁⲙⲓⲛ	ⲙⲛ|ⲃⲉⲛⲓⲁⲙⲓⲛ	1
ⲡⲉⲩⲧⲱϩ	ⲡⲉⲩ|ⲧⲱϩ	1
ϩⲛⲁⲙⲛⲧⲉ	ϩⲛ|ⲁⲙⲛⲧⲉ	1
ϩⲓⲉⲓⲱⲧ	ϩⲓ|ⲉⲓⲱⲧ	1
ϩⲓⲱⲱⲕ	ϩⲓⲱⲱ|ⲕ	1
ϩⲓⲱⲱⲥ	ϩⲓⲱⲱ|ⲥ	1
ⲧⲛϩⲕⲁⲉⲓⲧ	ⲧⲛ|ϩⲕⲁⲉⲓⲧ	1
ⲛⲉⲧⲛϫⲓϫⲉⲉⲩⲉ	ⲛⲉⲧⲛ|ϫⲓϫⲉⲉⲩⲉ	1
ⲟⲩⲙⲛⲧⲥⲟϭ	ⲟⲩ|ⲙⲛⲧⲥⲟϭ	1
ⲙⲛⲡⲟⲛⲏⲣⲟⲛ	ⲙⲛ|ⲡⲟⲛⲏⲣⲟⲛ	1
ⲛⲧⲉⲣⲉⲛⲁⲩ	ⲛⲧⲉⲣⲉ|ⲛⲁⲩ	1
ⲟⲩⲙⲛⲧⲣⲣⲟ	ⲟⲩ|ⲙⲛⲧⲣⲣⲟ	1
ϩⲁϩⲧⲏϥ	ϩⲁϩⲧⲏ|ϥ	1
ϩⲁϩⲧⲏⲛ	ϩⲁϩⲧⲏ|ⲛ	1
ⲉⲡⲁⲣⲁⲅⲉ	ⲉ|ⲡⲁⲣⲁⲅⲉ	1
ⲛⲣⲉϥϯϩⲉ	ⲛ|ⲣⲉϥϯϩⲉ	1
ⲛϭⲓⲃⲁⲥⲓⲙⲟⲥ	ⲛϭⲓ|ⲃⲁⲥⲓⲙⲟⲥ	1
ⲧⲟⲩⲛⲧⲏⲩⲧⲛ	ⲧⲟⲩⲛ|ⲧⲏⲩⲧⲛ	1
ⲧⲉⲛⲙⲛⲧϩⲁⲣϣϩⲏⲧ	ⲧⲉⲛ|ⲙⲛⲧϩⲁⲣϣϩⲏⲧ	1
ⲡⲙⲁⲕⲁⲣⲓⲟⲥ	ⲡ|ⲙⲁⲕⲁⲣⲓⲟⲥ	1
ⲟⲩⲉⲡⲓⲥⲧⲏⲙⲏ	ⲟⲩ|ⲉⲡⲓⲥⲧⲏⲙⲏ	1
ⲉⲣⲟⲉⲓⲥ	ⲉ|ⲣⲟⲉⲓⲥ	1
ⲧⲧⲟⲉⲓⲥ	ⲧ|ⲧⲟⲉⲓⲥ	1
ⲉⲟⲩϫⲁⲓ	ⲉ|ⲟⲩϫⲁⲓ	1
ⲙⲛⲑⲁⲇⲇⲁⲓⲟⲥ	ⲙⲛ|ⲑⲁⲇⲇⲁⲓⲟⲥ	1
ⲛⲁⲛϫⲱϫ	ⲛ|ⲁⲛϫⲱϫ	1
ⲛϩⲏⲣⲱⲇⲓⲁⲥ	ⲛ|ϩⲏⲣⲱⲇⲓⲁⲥ	1
ⲕⲉⲙⲓⲛⲉ	ⲕⲉ|ⲙⲓⲛⲉ	1
ϫⲓⲛⲧⲉⲛⲟⲩ	ϫⲓⲛ|ⲧⲉⲛⲟⲩ	1
ⲙⲙⲉⲧⲁⲛⲟⲓⲁ	ⲙ|ⲙⲉⲧⲁⲛⲟⲓⲁ	1
ⲙⲡⲓⲥⲧⲟⲥ	ⲙ|ⲡⲓⲥⲧⲟⲥ	1
ⲛⲉⲧⲛϣⲟϫⲛⲉ	ⲛⲉⲧⲛ|ϣⲟϫⲛⲉ	1
ⲛϣⲁⲁⲣ	ⲛ|ϣⲁⲁⲣ	1
ⲛϣⲁⲉⲓ	ⲛ|ϣⲁⲉⲓ	1
ϯⲡⲁⲣⲁⲕⲁⲗⲉⲓ	ϯ|ⲡⲁⲣⲁⲕⲁⲗⲉⲓ	1
ⲛⲙⲙⲁϥ	ⲛⲙⲙⲁ|ϥ	1
ⲁⲡⲓⲗⲁⲧⲟⲥ	ⲁ|ⲡⲓⲗⲁⲧⲟⲥ	1
ⲛⲙⲙⲁⲓ	ⲛⲙⲙⲁ|ⲓ	1
ⲛⲙⲙⲁⲕ	ⲛⲙⲙⲁ|ⲕ	1
ⲛⲙⲙⲁⲩ	ⲛⲙⲙⲁ|ⲩ	1
ⲙⲛⲥⲓⲇⲱⲛ	ⲙⲛ|ⲥⲓⲇⲱⲛ	1
ⲛϣⲓⲛⲉ	ⲛ|ϣⲓⲛⲉ	1
ⲛϣⲗⲧⲙ	ⲛ|ϣⲗⲧⲙ	1
ⲛϣⲙⲙⲟ	ⲛ|ϣⲙⲙⲟ	1
ⲧⲁⲓⲥⲟⲫⲓⲁ	ⲧⲁⲓ|ⲥⲟⲫⲓⲁ	1
ⲧⲙⲛⲧϣⲁϥⲧⲉ	ⲧ|ⲙⲛⲧϣⲁϥⲧⲉ	1
ⲛϣⲟⲣⲡ	ⲛ|ϣⲟⲣⲡ	1
ⲛⲉⲣⲉⲓⲏⲥⲟⲩⲥ	ⲛⲉⲣⲉ|ⲓⲏⲥⲟⲩⲥ	1
ⲙⲙⲛϣϭⲟⲙ	ⲙⲙⲛ|ϣϭⲟⲙ	1
ϫⲉⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ	ϫⲉ|ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ	1
ϩⲛⲥⲓⲟⲟⲩⲛⲉ	ϩⲛ|ⲥⲓⲟⲟⲩⲛⲉ	1
ⲥⲃⲧⲱⲧⲟⲩ	ⲥⲃⲧⲱⲧ|ⲟⲩ	1
ⲡⲙⲉϩϣⲟⲙⲛⲧ	ⲡ|ⲙⲉϩϣⲟⲙⲛⲧ	1
ⲛⲉϫⲏⲣⲡ	ⲛⲉϫ|ⲏⲣⲡ	1
ϥⲟⲩⲱⲙ	ϥ|ⲟⲩⲱⲙ	1
ⲛϣⲱⲡⲉ	ⲛ|ϣⲱⲡⲉ	1
ⲧⲛⲧⲛⲧⲏⲩⲧⲛ	ⲧⲛⲧⲛ|ⲧⲏⲩⲧⲛ	1
ⲛⲧⲁⲓⲏⲥⲟⲩⲥ	ⲛⲧⲁ|ⲓⲏⲥⲟⲩⲥ	1
ϫⲉⲃⲱⲕ	ϫⲉ|ⲃⲱⲕ	1
ϫⲉⲉⲛⲉ	ϫⲉ|ⲉⲛⲉ	1
ϫⲉⲉⲧⲓ	ϫⲉ|ⲉⲧⲓ	1
ϫⲉⲕⲁⲛ	ϫⲉ|ⲕⲁⲛ	1
ⲡⲉⲕⲃⲟⲏⲑⲟⲥ	ⲡⲉⲕ|ⲃⲟⲏⲑⲟⲥ	1
ⲙⲛⲓⲉⲍⲉⲕⲓⲏⲗ	ⲙⲛ|ⲓⲉⲍⲉⲕⲓⲏⲗ	1
ϫⲉⲛⲓⲙ	ϫⲉ|ⲛⲓⲙ	1
ⲛⲓⲥⲁⲁⲕ	ⲛ|ⲓⲥⲁⲁⲕ	1
ϫⲉⲟⲩⲕ	ϫⲉ|ⲟⲩⲕ	1
ϫⲉⲟⲩⲛ	ϫⲉ|ⲟⲩⲛ	1
ⲙⲛϩⲟⲓⲛⲉ	ⲙⲛ|ϩⲟⲓⲛⲉ	1
ⲧⲙⲁⲁⲩ	ⲧ|ⲙⲁⲁⲩ	1
ϫⲉⲧⲁⲓ	ϫⲉ|ⲧⲁⲓ	1
ϫⲉⲧⲱⲕ	ϫⲉ|ⲧⲱⲕ	1
ⲧⲙⲏⲧⲉ	ⲧ|ⲙⲏⲧⲉ	1
ⲙⲉⲛⲡⲉ	ⲙⲉⲛ|ⲡⲉ	1
ⲥⲧⲟϥ	ⲥⲧⲟ|ϥ	1
ⲧⲉⲕϩⲓⲏ	ⲧⲉⲕ|ϩⲓⲏ	1
ⲛⲙⲁⲧⲟⲓ	ⲛ|ⲙⲁⲧⲟⲓ	1
ⲟⲩⲭⲟⲣⲧⲟⲥ	ⲟⲩ|ⲭⲟⲣⲧⲟⲥ	1
ϯⲙⲟⲕϩ	ϯ|ⲙⲟⲕϩ	1
ⲡⲃⲁⲣⲃⲁⲣⲟⲥ	ⲡ|ⲃⲁⲣⲃⲁⲣⲟⲥ	1
ⲕⲟⲩⲱϣⲧ	ⲕ|ⲟⲩⲱϣⲧ	1
ⲛϭⲓϩⲟⲉⲓⲛⲉ	ⲛϭⲓ|ϩⲟⲉⲓⲛⲉ	1
ⲙⲡⲟⲩ[..]ⲥⲃⲱ	ⲙⲡⲟⲩ|[..]ⲥⲃⲱ	1
ⲧⲉⲓⲅⲣⲁⲫⲏ	ⲧⲉⲓ|ⲅⲣⲁⲫⲏ	1
ⲧⲏⲣⲥ	ⲧⲏⲣ|ⲥ	1
ⲛϩⲁⲁⲩ	ⲛ|ϩⲁⲁⲩ	1
ⲙⲙⲓⲛⲙⲙⲟⲟⲩ	ⲙⲙⲓⲛⲙⲙⲟ|ⲟⲩ	1
ϯⲧⲏⲩⲧⲛ	ϯ|ⲧⲏⲩⲧⲛ	1
ⲛϩⲓⲥⲉ	ⲛ|ϩⲓⲥⲉ	1
ⲟⲩϣⲁϫⲉ	ⲟⲩ|ϣⲁϫⲉ	1
ⲛⲉⲛⲇⲓⲱⲅⲙⲟⲥ	ⲛⲉⲛ|ⲇⲓⲱⲅⲙⲟⲥ	1
ⲛϩⲗⲗⲟ	ⲛ|ϩⲗⲗⲟ	1
ⲛϩⲗⲗⲱ	ⲛ|ϩⲗⲗⲱ	1
ⲛϩⲙⲟⲧ	ⲛ|ϩⲙⲟⲧ	1
ⲙⲙⲓⲛⲙⲙⲱⲧⲛ	ⲙⲙⲓⲛⲙⲙⲱ|ⲧⲛ	1
ⲟⲩⲁⲥⲑⲉⲛⲏⲥ	ⲟⲩ|ⲁⲥⲑⲉⲛⲏⲥ	1
ⲉⲕⲣⲟⲛⲟⲥ	ⲉ|ⲕⲣⲟⲛⲟⲥ	1
ⲛⲣⲉϥϫⲓⲟⲩⲉ	ⲛ|ⲣⲉϥϫⲓⲟⲩⲉ	1
ⲛϩⲟⲟⲩ	ⲛ|ϩⲟⲟⲩ	1
ⲛϩⲟⲩⲛ	ⲛ|ϩⲟⲩⲛ	1
ⲛϩⲟⲩⲟ	ⲛ|ϩⲟⲩⲟ	1
ⲛⲥⲁⲃⲟⲗ	ⲛⲥⲁ|ⲃⲟⲗ	1
ⲛϩⲱⲧⲡ	ⲛ|ϩⲱⲧⲡ	1
ⲛⲁⲟⲓⲕⲟⲛⲟⲙⲟⲥ	ⲛⲁ|ⲟⲓⲕⲟⲛⲟⲙⲟⲥ	1
ⲛϫⲁⲙⲏ	ⲛ|ϫⲁⲙⲏ	1
ϩⲓⲕⲣⲟϥ	ϩⲓ|ⲕⲣⲟϥ	1
ϩⲉⲛϣⲏⲣⲉ	ϩⲉⲛ|ϣⲏⲣⲉ	1
ϩⲓⲕⲟⲧⲥ	ϩⲓ|ⲕⲟⲧⲥ	1
ⲁϩⲟⲉⲓⲛⲉ	ⲁ|ϩⲟⲉⲓⲛⲉ	1
ⲛϫⲟⲉⲓⲥ	ⲛ|ϫⲟⲉⲓⲥ	1
ⲉⲧⲙⲉⲉⲩⲉ	ⲉⲧ|ⲙⲉⲉⲩⲉ	1
ⲛϭⲓⲥⲓⲙⲱⲛ	ⲛϭⲓ|ⲥⲓⲙⲱⲛ	1
ⲧⲛⲟⲩⲱϣ	ⲧⲛ|ⲟⲩⲱϣ	1
ⲁϣϣⲕⲁⲕ	ⲁϣ|ϣⲕⲁⲕ	1
ⲙⲙⲛⲡⲣⲟⲫⲏⲧⲏⲥ	ⲙⲙⲛ|ⲡⲣⲟⲫⲏⲧⲏⲥ	1
ⲛϫⲣⲟⲡ	ⲛ|ϫⲣⲟⲡ	1
ⲙⲙⲛϭⲉ	ⲙⲙⲛ|ϭⲉ	1
ⲛϫⲟⲩⲧⲏ	ⲛ|ϫⲟⲩⲧⲏ	1
ⲙⲛⲁⲡⲁ	ⲙⲛ|ⲁⲡⲁ	1
ⲛⲁϫⲡⲟ	ⲛⲁ|ϫⲡⲟ	1
ⲙⲛⲑⲱⲙⲁⲥ	ⲙⲛ|ⲑⲱⲙⲁⲥ	1
ⲧⲟⲩⲉⲓ	ⲧ|ⲟⲩⲉⲓ	1
ⲙⲛⲟⲩⲁ	ⲙⲛ|ⲟⲩⲁ	1
ⲛⲁⲧϣⲁⲩ	ⲛ|ⲁⲧϣⲁⲩ	1
ⲛϭⲟⲛⲥ	ⲛ|ϭⲟⲛⲥ	1
ⲡⲥⲟⲟϩⲉ	ⲡ|ⲥⲟⲟϩⲉ	1
ⲛⲉⲫⲁⲣⲣⲓⲥⲁⲓⲟⲥ	ⲛⲉ|ⲫⲁⲣⲣⲓⲥⲁⲓⲟⲥ	1
ⲛϭⲓϩⲟⲓⲛⲉ	ⲛϭⲓ|ϩⲟⲓⲛⲉ	1
ⲙⲛⲧⲃⲧ	ⲙⲛ|ⲧⲃⲧ	1
ⲛⲁⲧϩⲏⲧ	ⲛ|ⲁⲧϩⲏⲧ	1
ⲛⲉⲩⲙⲛⲧⲙⲛⲧⲣⲉ	ⲛⲉⲩ|ⲙⲛⲧⲙⲛⲧⲣⲉ	1
ⲡⲥⲁⲃⲃⲁⲧⲟⲛ	ⲡ|ⲥⲁⲃⲃⲁⲧⲟⲛ	1
ⲧⲙⲛⲧⲙⲟⲛⲁⲭⲟⲥ	ⲧ|ⲙⲛⲧⲙⲟⲛⲁⲭⲟⲥ	1
ⲟⲩⲡⲟⲣⲛⲟⲥ	ⲟⲩ|ⲡⲟⲣⲛⲟⲥ	1
ⲉⲛⲉϣⲱⲡⲉ	ⲉⲛⲉ|ϣⲱⲡⲉ	1
ⲡⲛⲟⲩⲧⲉ	ⲡ|ⲛⲟⲩⲧⲉ	1
ⲟⲩⲡⲛⲉⲩⲙⲁ	ⲟⲩ|ⲡⲛⲉⲩⲙⲁ	1
ⲧⲁϩⲟϥ	ⲧⲁϩⲟ|ϥ	1
ⲛⲉⲧⲛⲉⲓⲣⲉ	ⲛⲉⲧⲛ|ⲉⲓⲣⲉ	1
ⲁⲛⲟⲕⲡⲉ	ⲁⲛⲟⲕ|ⲡⲉ	1
ⲛϩⲩⲡⲟⲧⲁⲅⲏ	ⲛ|ϩⲩⲡⲟⲧⲁⲅⲏ	1
ϩⲛⲁⲣⲓⲙⲁⲑⲁⲓⲟⲥ	ϩⲛ|ⲁⲣⲓⲙⲁⲑⲁⲓⲟⲥ	1
ⲛⲁⲅⲉⲗⲏ	ⲛ|ⲁⲅⲉⲗⲏ	1
