norm_group	norm	count
ⲥⲟⲛ	ⲥⲟⲛ	6
ϣⲱⲡⲉ	ϣⲱⲡⲉ	6
ϩⲏⲏⲧⲉ	ϩⲏⲏⲧⲉ	5
ⲙⲁⲁⲩ	ⲙⲁⲁⲩ	5
ⲛⲧⲟⲕ	ⲛⲧⲟⲕ	5
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ	5
:	:	5
ⲕ	ⲕ	5
ϩⲙ	ϩⲙ	5
ⲁⲛ	ⲁⲛ	5
ⲛⲉ	ⲛⲉ	5
ⲟⲩ	ⲟⲩ	5
ⲡⲉ	ⲡⲉ	5
ⲡⲓⲗⲁⲧⲟⲥ	ⲡⲓⲗⲁⲧⲟⲥ	5
ⲅⲁⲣ	ⲅⲁⲣ	5
ⲉⲣⲟ	ⲉⲣⲟ	5
ⲏⲇⲏ	ⲏⲇⲏ	5
ⲡⲉⲛ	ⲡⲉⲛ	5
ⲙⲁⲣⲓⲁ	ⲙⲁⲣⲓⲁ	5
ⲛⲧⲱⲧⲛ	ⲛⲧⲱⲧⲛ	5
ⲧⲉⲛⲟⲩ	ⲧⲉⲛⲟⲩ	5
ϣⲟⲟⲡ	ϣⲟⲟⲡ	5
ϩⲣⲁⲓ	ϩⲣⲁⲓ	5
ϩⲁⲙⲏⲛ	ϩⲁⲙⲏⲛ	4
ϩⲟⲧⲁⲛ	ϩⲟⲧⲁⲛ	4
ϫⲟⲉⲓⲥ	ϫⲟⲉⲓⲥ	4
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ	4
ⲁⲛⲟⲛ	ⲁⲛⲟⲛ	4
ⲉⲛⲉϩ	ⲉⲛⲉϩ	4
ⲉⲓⲱⲧ	ⲉⲓⲱⲧ	4
ⲡⲉϫⲉ	ⲡⲉϫⲉ	4
ⲙⲡⲱⲣ	ⲙⲡⲱⲣ	4
ⲛⲁⲙⲉ	ⲛⲁⲙⲉ	4
ⲟⲩⲧⲉ	ⲟⲩⲧⲉ	4
ⲉϣⲱⲡⲉ	ⲉϣⲱⲡⲉ	4
ⲟⲩⲟⲉⲓϣ	ⲟⲩⲟⲉⲓϣ	4
ⲛϩⲟⲩⲟ	ⲛϩⲟⲩⲟ	4
ϣⲁϩⲣⲁⲓ	ϣⲁϩⲣⲁⲓ	4
ⲥϩⲓⲙⲉ	ⲥϩⲓⲙⲉ	4
[	[	4
]	]	4
ⲏ	ⲏ	4
ⲩ	ⲩ	4
⸖	⸖	4
ϣⲉ	ϣⲉ	4
ϩⲉ	ϩⲉ	4
ⲁⲛ	ⲁⲛ	4
ⲙⲛ	ⲙⲛ	4
ϣⲁⲛ	ϣⲁⲛ	4
ⲉⲙⲁⲧⲉ	ⲉⲙⲁⲧⲉ	4
ⲛϭⲓ	ⲛϭⲓ	4
ⲉⲓⲥ	ⲉⲓⲥ	4
ⲉⲛⲧ	ⲉⲛⲧ	4
ⲉⲧⲉ	ⲉⲧⲉ	4
ⲙⲙⲟ	ⲙⲙⲟ	4
ⲛⲓⲙ	ⲛⲓⲙ	4
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ	4
ⲛⲧⲱⲧⲛ	ⲛⲧⲱⲧⲛ	4
ⲣⲛⲟⲃⲉ	ⲣⲛⲟⲃⲉ	4
ⲥⲓⲙⲱⲛ	ⲥⲓⲙⲱⲛ	4
ⲥⲱⲟⲩϩ	ⲥⲱⲟⲩϩ	4
ϫⲁϫⲉ	ϫⲁϫⲉ	4
ϣⲁⲁⲧ	ϣⲁⲁⲧ	4
ϩⲟⲓⲛⲉ	ϩⲟⲓⲛⲉ	3
ϩⲟⲟⲩⲧ	ϩⲟⲟⲩⲧ	3
ϩⲟⲧⲁⲛ	ϩⲟⲧⲁⲛ	3
ⲛϩⲏⲧ	ⲛϩⲏⲧ	3
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ	3
ⲁⲛⲁⲩ	ⲁⲛⲁⲩ	3
ⲁⲛⲟⲕ	ⲁⲛⲟⲕ	3
ⲁⲛⲟⲛ	ⲁⲛⲟⲛ	3
ⲕⲁⲧⲁ	ⲕⲁⲧⲁ	3
ⲗⲁⲁⲩ	ⲗⲁⲁⲩ	3
ⲙⲙⲁⲩ	ⲙⲙⲁⲩ	3
ⲙⲙⲟⲛ	ⲙⲙⲟⲛ	3
ⲛⲧⲟϥ	ⲛⲧⲟϥ	3
ⲛⲧⲟⲕ	ⲛⲧⲟⲕ	3
ⲟⲩⲱϣ	ⲟⲩⲱϣ	3
ⲥⲙⲟⲩ	ⲥⲙⲟⲩ	3
ⲡⲟⲛⲏⲣⲓⲁ	ⲡⲟⲛⲏⲣⲓⲁ	3
ϩⲟⲉⲓⲛⲉ	ϩⲟⲉⲓⲛⲉ	3
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ	3
ϩⲟⲙⲟⲓⲱⲥ	ϩⲟⲙⲟⲓⲱⲥ	3
ⲉ	ⲉ	3
ⲛ	ⲛ	3
ⲣ	ⲣ	3
ϣⲁ	ϣⲁ	3
ϥⲓ	ϥⲓ	3
ϩⲱ	ϩⲱ	3
ϭⲉ	ϭⲉ	3
ⲁϣ	ⲁϣ	3
ⲙⲁ	ⲙⲁ	3
ⲟⲛ	ⲟⲛ	3
ⲧⲉ	ⲧⲉ	3
ⲧⲙ	ⲧⲙ	3
ϩⲁϩ	ϩⲁϩ	3
ϫⲱⲕ	ϫⲱⲕ	3
ⲡⲁⲩⲗⲟⲥ	ⲡⲁⲩⲗⲟⲥ	3
ⲡⲉⲧⲣⲟⲥ	ⲡⲉⲧⲣⲟⲥ	3
ⲉⲝⲉⲥⲧⲓ	ⲉⲝⲉⲥⲧⲓ	3
ⲁⲡⲁ	ⲁⲡⲁ	3
ⲉⲓⲉ	ⲉⲓⲉ	3
ⲉⲧⲓ	ⲉⲧⲓ	3
ⲕⲧⲟ	ⲕⲧⲟ	3
ⲛⲁⲓ	ⲛⲁⲓ	3
ⲛⲁⲩ	ⲛⲁⲩ	3
ⲧⲉϥ	ⲧⲉϥ	3
ⲡⲉⲕ	ⲡⲉⲕ	3
ⲧⲁⲓ	ⲧⲁⲓ	3
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ	3
ⲓⲁⲕⲱⲃ	ⲓⲁⲕⲱⲃ	3
ⲙⲉⲣⲓⲧ	ⲙⲉⲣⲓⲧ	3
ⲙⲏⲡⲱⲥ	ⲙⲏⲡⲱⲥ	3
ⲙⲟⲩⲧⲉ	ⲙⲟⲩⲧⲉ	3
ⲛⲧⲟⲟⲩ	ⲛⲧⲟⲟⲩ	3
ⲛⲧⲱⲧⲛ	ⲛⲧⲱⲧⲛ	3
ⲡⲁⲙⲃⲱ	ⲡⲁⲙⲃⲱ	3
