ⲉⲓⲛⲁϯϩⲏⲩ	ⲉ|ⲓ|ⲛⲁ|ϯϩⲏⲩ
ⲙⲡⲓⲉⲣⲟ	ⲙ|ⲡ|ⲓⲉⲣⲟ
ϫⲉϩⲏⲗⲉⲓⲁⲥ	ϫⲉ|ϩⲏⲗⲉⲓⲁⲥ
ⲙⲡⲓⲛⲟϭ	ⲙ|ⲡⲓ|ⲛⲟϭ
ⲁⲥⲧⲁⲁϥ	ⲁ|ⲥ|ⲧⲁⲁ|ϥ
ϩⲛⲛⲃⲁⲗ	ϩⲛ|ⲛ|ⲃⲁⲗ
ⲉⲡⲟⲩⲟⲧⲟⲩⲉⲧ	ⲉ|ⲡ|ⲟⲩⲟⲧⲟⲩⲉⲧ
ⲉⲧⲣⲉϩⲉⲛϣⲏⲣⲉ	ⲉ|ⲧⲣⲉ|ϩⲉⲛ|ϣⲏⲣⲉ
ⲛⲛⲉⲉⲓϯϣⲓⲡⲉ	ⲛⲛⲉ|ⲉⲓ|ϯ|ϣⲓⲡⲉ
ⲉⲣⲟⲩⲟⲉⲓϣ	ⲉ|ⲟⲩⲟⲉⲓϣ
ⲛϭⲓⲛⲉⲥⲛⲟⲟϥ	ⲛϭⲓ|ⲛⲉ|ⲥⲛⲟⲟϥ
ⲛⲧⲁⲕϫⲟⲟⲥ	ⲛⲧ|ⲁ|ⲕ|ϫⲟⲟ|ⲥ
ⲙⲡⲁⲓⲱⲛ	ⲙ|ⲡ|ⲁⲓⲱⲛ
ⲉⲥⲃⲧⲉ	ⲉ|ⲥⲃⲧⲉ
ⲟⲩⲭⲟⲣⲧⲟⲥ	ⲟⲩ|ⲭⲟⲣⲧⲟⲥ
ⲟⲩⲧⲟⲡⲟⲥ	ⲟⲩ|ⲧⲟⲡⲟⲥ
ⲛⲛⲁⲥⲡⲉ	ⲛ|ⲛ|ⲁⲥⲡⲉ
ⲕⲛⲁϣⲧⲟⲩϫⲉⲧⲉⲕⲥϩⲓⲙⲉ	ⲕ|ⲛⲁ|ϣ|ⲧⲟⲩϫⲉ|ⲧⲉⲕ|ⲥϩⲓⲙⲉ
ϩⲓⲧⲛⲧϩⲏⲇⲟⲛⲏ	ϩⲓⲧⲛ|ⲧ|ϩⲏⲇⲟⲛⲏ
ⲉⲧⲉⲧⲛⲛⲁ	ⲉ|ⲧⲉⲧⲛ|ⲛⲁ
ⲛⲣⲉϥⲥⲁϩⲟⲩ	ⲛ|ⲣⲉϥⲥⲁϩⲟⲩ
ϣⲁⲥϩⲣⲟϣ	ϣⲁ|ⲥ|ϩⲣⲟϣ
ϩⲁϩ	ϩⲁϩ
ⲛⲧⲉⲣⲉϥⲫⲱϭⲉ	ⲛⲧⲉⲣⲉ|ϥ|ⲫⲱϭⲉ
ⲉⲛⲁⲛⲣⲱⲙⲉ	ⲉ|ⲛⲁ|ⲛ|ⲣⲱⲙⲉ
ϩⲛⲛⲉⲭⲁⲣⲧⲏⲥ	ϩⲛ|ⲛⲉ|ⲭⲁⲣⲧⲏⲥ
ⲡⲁⲧⲉⲓⲣⲏⲛⲏ	ⲡⲁ|ⲧ|ⲉⲓⲣⲏⲛⲏ
ⲁϥϫⲉⲩⲕⲉϩⲙϩⲁⲗ	ⲁ|ϥ|ϫⲉⲩ|ⲕⲉ|ϩⲙϩⲁⲗ
ⲛϫⲏϭⲉ	ⲛ|ϫⲏϭⲉ
ⲛϭⲓⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ	ⲛϭⲓ|ⲛⲉϥ|ⲙⲁⲑⲏⲧⲏⲥ
ⲉⲩϣⲓⲛⲉ	ⲉ|ⲩ|ϣⲓⲛⲉ
ⲛϯⲛⲁⲕⲁ	ⲛ|ϯ|ⲛⲁ|ⲕⲁ
ⲙⲛⲙⲛⲧⲁⲕⲁⲑⲁⲣⲧⲟⲥ	ⲙⲛ|ⲙⲛⲧⲁⲕⲁⲑⲁⲣⲧⲟⲥ
ϫⲉⲛⲕⲛⲁϣⲁϫⲉ	ϫⲉ|ⲛ|ⲕ|ⲛⲁ|ϣⲁϫⲉ
ⲛⲉⲓϣⲁϫⲉ	ⲛⲉⲓ|ϣⲁϫⲉ
ϫⲉⲛⲉⲧⲉⲣⲉⲛϩⲉⲑⲛⲟⲥ	ϫⲉ|ⲛ|ⲉⲧⲉⲣⲉ|ⲛ|ϩⲉⲑⲛⲟⲥ
ϫⲉϩⲉⲛⲕⲟⲟⲩⲉ	ϫⲉ|ϩⲉⲛ|ⲕⲟⲟⲩⲉ
ⲉⲧⲃⲉⲡⲛⲟⲩⲧⲉ	ⲉⲧⲃⲉ|ⲡ|ⲛⲟⲩⲧⲉ
ⲡϩⲉⲣⲙⲁⲛ	ⲡ|ϩⲉⲣⲙⲁⲛ
ϩⲛⲟⲩⲡⲉⲓⲑⲉ	ϩⲛ|ⲟⲩ|ⲡⲉⲓⲑⲉ
ⲥⲕⲁⲛⲇⲁⲗⲓⲍⲉ	ⲥⲕⲁⲛⲇⲁⲗⲓⲍⲉ
ϩⲛⲟⲩϩⲓⲥⲉ	ϩⲛ|ⲟⲩ|ϩⲓⲥⲉ
ⲉⲣⲛⲉⲕⲟⲩⲱϣ	ⲉ|ⲣ|ⲛⲉⲕ|ⲟⲩⲱϣ
ⲛⲧϭⲓⲛⲛⲥⲱⲧⲙ	ⲛ|ⲧ|ϭⲓⲛⲛⲥⲱⲧⲙ
ⲉϥⲛⲏϫ	ⲉ|ϥ|ⲛⲏϫ
ⲛⲧⲉⲧⲛⲛⲁⲡⲉⲭⲣⲓⲥⲧⲟⲥ	ⲛⲧⲉⲧⲛ|ⲛⲁ|ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ
ⲛϫⲟⲉⲓⲥ	ⲛ|ϫⲟⲉⲓⲥ
ϩⲛⲧⲉⲥⲡⲟⲩⲇⲏ	ϩⲛ|ⲧⲉ|ⲥⲡⲟⲩⲇⲏ
ⲛⲅⲧⲁⲁⲩ	ⲛ|ⲅ|ⲧⲁⲁ|ⲩ
ⲛⲧⲁϩⲉⲛⲕⲟⲟⲩⲉ	ⲛⲧ|ⲁ|ϩⲉⲛ|ⲕⲟⲟⲩⲉ
ϩⲓϩⲱⲃ	ϩⲓ|ϩⲱⲃ
ϫⲉⲉⲣⲉⲧⲉⲩⲃⲟⲏⲑⲉⲓⲁ	ϫⲉ|ⲉⲣⲉ|ⲧⲉⲩ|ⲃⲟⲏⲑⲉⲓⲁ
ⲙⲡⲉϥϣⲓⲡⲉ	ⲙⲡⲉ|ϥ|ϣⲓⲡⲉ
ⲉⲩϣⲁⲛⲣⲛⲟⲃⲉ	ⲉ|ⲩ|ϣⲁⲛ|ⲣⲛⲟⲃⲉ
ⲧⲛⲛⲁⲫⲟⲣⲉⲓ	ⲧⲛ|ⲛⲁ|ⲫⲟⲣⲉⲓ
ϫⲉⲛⲉⲧⲟⲩⲁⲁⲃ	ϫⲉ|ⲛ|ⲉⲧ|ⲟⲩⲁⲁⲃ
ⲙⲛⲡϣⲓⲡⲉ	ⲙⲛ|ⲡ|ϣⲓⲡⲉ
