#ⲱ	V	-
ϣⲟⲟⲡ	V	-
ϣⲟⲟⲥ	N	-
ϣⲟⲟⲥⲉ	N	-
ϣⲟⲟⲩⲉ	V	-
ϣⲟⲡ	V	-
ϣⲟⲣϣⲣ	V	-
ϣⲟⲣⲡ	N	-
ϣⲟⲣⲡⲉ	N	-
ϣⲟⲧⲙ	V	-
ϣⲟⲩ	N	-
ϣⲟⲩϣⲟⲩ	V	-
ϣⲟⲩϣⲧ	N	-
ϣⲟⲩϩⲏⲛⲉ	N	-
ϣⲟⲩⲉ	V	-
ϣⲟⲩⲉⲓⲧ	V	-
ϣⲟⲩⲙⲉⲣⲓⲧ	N	-
ϣⲟⲩⲙⲟⲩⲧⲉ	N	-
ϣⲟⲩⲟ	V	-
ϣⲟⲩⲟⲉⲓⲧ	V	-
ϣⲟⲩⲣⲡⲉⲥⲙⲉⲉⲩⲉ	N	-
ϣⲟⲩⲧⲙⲧⲁⲩⲉ	N	-
ϣⲟⲩⲱⲟⲩ	V	-
ϣⲡ	V	-
ϣⲡϩⲓⲥⲉ	V	-
ϣⲡϩⲙⲟⲧ	V	-
ϣⲡⲉⲛϣⲱⲡ	N	-
ϣⲡⲏⲣⲉ	N	-
ϣⲡⲟⲛ	V	-
ϣⲡⲧⲱⲣⲉ	V	-
ϣⲣϣⲱⲣ	V	-
ϣⲣϣⲱⲣ	V	-
ϣⲣⲡ	V	-
ϣⲣⲡϣⲁϫⲉ	V	-
ϣⲣⲡⲙⲓⲥⲉ	N	-
ϣⲣⲡⲙⲙⲓⲥⲉ	N	-
ϣⲣⲡⲛ	N	-
ϣⲣⲡⲧⲁⲙⲟ	V	-
ϣⲥⲛⲕⲱⲣⲁⲝ	N	-
ϣⲥⲛⲟⲩⲟϭⲉ	N	-
ϣⲧⲁⲙ	V	-
ϣⲧⲉⲕⲟ	N	-
ϣⲧⲉⲣⲧⲱⲣ	V	-
ϣⲧⲏⲛ	N	-
ϣⲧⲙⲟⲩⲱⲛ	N	-
ϣⲧⲟⲙ	V	-
ϣⲧⲟⲣⲧⲉⲣ	V	-
ϣⲧⲟⲣⲧⲣ	V	-
ϣⲧⲣⲧⲣ	V	-
ϣⲧⲣⲧⲱⲣ	V	-
ϣⲧⲣⲧⲱⲣ	V	-
ϣⲱ	N	-
ϣⲱϣ	V	-
ϣⲱϥ	V	-
ϣⲱϥⲧ	V	-
ϣⲱϫⲡ	V	-
ϣⲱⲗ	V	-
ϣⲱⲗϩ	V	-
ϣⲱⲗⲙ	V	-
ϣⲱⲙ	N	-
ϣⲱⲛⲉ	V	-
ϣⲱⲛⲧ	V	-
ϣⲱⲡ	V	-
ϣⲱⲡⲉ	V	-
ϣⲱⲣⲡ	V	-
ϣⲱⲥ	N	-
ϣⲱⲥⲙ	N	-
ϣⲱⲱⲧ	V	-
ϣⲱⲱⲧⲛⲉⲓⲇⲱⲗⲟⲛ	N	-
ϥ	PPER	-
ϥⲁⲓϣⲓⲛⲉ	N	-
ϥⲁⲓⲉⲧⲡⲱ	N	-
ϥⲁⲓⲕⲗⲟⲙ	N	-
ϥⲉϭ	V	-
ϥⲓ	V	-
ϥⲓϩⲣⲁⲩ	V	-
ϥⲓⲡⲣⲟⲟⲩϣ	V	-
ϥⲓⲧ	V	-
ϥⲟϭ	V	-
ϥⲟⲗ	V	-
ϥⲟⲧ	V	-
ϥⲧⲟ	N	-
ϥⲧⲟⲟⲩ	N	-
ϥⲱ	N	-
ϥⲱϭⲉ	V	-
ϥⲱⲧⲉ	V	-
ϥⲱⲱⲣⲉ	V	-
ϩⲁ	PREP	-
ϩⲁϩ	N	-
ϩⲁϩⲛⲥⲟⲡ	ADV	-
ϩⲁϩⲧⲏ	PREP	-
ϩⲁϩⲧⲙ	PREP	-
ϩⲁϩⲧⲛ	PREP	-
ϩⲁϭⲉ	N	-
ϩⲁⲅⲓⲟⲥ	N	-
ϩⲁⲅⲓⲟⲥⲩⲛⲏ	N	-
ϩⲁⲅⲓⲟⲧⲁⲧⲟⲥ	N	-
ϩⲁⲅⲓⲱⲥⲩⲛⲏ	N	-
ϩⲁⲅⲓⲱⲧⲁⲧⲟⲥ	N	-
ϩⲁⲉⲓⲁⲧ	PREP	-
ϩⲁⲉⲓⲃⲉⲥ	N	-
ϩⲁⲉⲓⲃⲥ	N	-
ϩⲁⲉⲓⲙ	N	-
ϩⲁⲏ	N	-
ϩⲁⲑⲏ	ADV	-
ϩⲁⲓ	N	-
ϩⲁⲓⲃⲉⲥ	N	-
ϩⲁⲓⲃⲥ	N	-
ϩⲁⲓⲣⲁⲓⲧⲓⲕⲟⲥ	N	-
ϩⲁⲓⲣⲉⲥⲓⲥ	N	-
ϩⲁⲓⲣⲉⲧⲓⲕⲟⲥ	N	-
ϩⲁⲓⲣⲏⲥⲓⲥ	N	-
ϩⲁⲓⲣⲏⲧⲓⲕⲟⲥ	N	-
ϩⲁⲕ	N	-
ϩⲁⲗⲁⲁⲧⲉ	N	-
ϩⲁⲗⲁⲧⲉ	N	-
ϩⲁⲗⲉ	N	-
ϩⲁⲗⲏⲧ	N	-
ϩⲁⲗⲱⲙ	N	-
