ϣⲏⲣⲡⲥϩⲁⲓ	ϣⲏⲣⲡ|ⲥϩⲁⲓ
ⲙⲛⲧϣⲁϥⲧⲉ	ⲙⲛⲧ|ϣⲁϥⲧⲉ
ⲙⲛⲧϣⲁⲛϩⲧⲏ	ⲙⲛⲧ|ϣⲁⲛ|ϩⲧⲏ
ⲙⲛⲧϣⲁⲩ	ⲙⲛⲧ|ϣⲁⲩ
ⲙⲛⲧϩⲁⲡⲗⲟⲩⲥ	ⲙⲛⲧ|ϩⲁⲡⲗⲟⲩⲥ
ⲙⲛⲧϩⲁⲣϣϩⲏⲧ	ⲙⲛⲧ|ϩⲁⲣϣ|ϩⲏⲧ
ⲙⲛⲧϩⲏⲕⲉ	ⲙⲛⲧ|ϩⲏⲕⲉ
ⲙⲛⲧϩⲗⲗⲟ	ⲙⲛⲧ|ϩⲗⲗⲟ
ⲙⲛⲧϩⲗⲗⲱ	ⲙⲛⲧ|ϩⲗⲗⲱ
ⲙⲛⲧϩⲙϩⲁⲗ	ⲙⲛⲧ|ϩⲙϩⲁⲗ
ⲙⲛⲧϫⲁϫⲉ	ⲙⲛⲧ|ϫⲁϫⲉ
ⲙⲛⲧϫⲁⲥⲓϩⲏⲧ	ⲙⲛⲧ|ϫⲁⲥⲓ|ϩⲏⲧ
ⲙⲛⲧϫⲱⲱⲣⲉ	ⲙⲛⲧ|ϫⲱⲱⲣⲉ
ⲙⲛⲧϭⲁⲃϩⲏⲧ	ⲙⲛⲧ|ϭⲁⲃ|ϩⲏⲧ
ⲙⲛⲧϭⲱⲃ	ⲙⲛⲧ|ϭⲱⲃ
ⲙⲛⲧⲁⲅⲁⲑⲟⲥ	ⲙⲛⲧ|ⲁⲅⲁⲑⲟⲥ
ⲙⲛⲧⲁⲑⲏⲧ	ⲙⲛⲧ|ⲁⲧ|ϩⲏⲧ
ⲙⲛⲧⲁⲕⲁⲑⲁⲣⲧⲟⲥ	ⲙⲛⲧ|ⲁⲕⲁⲑⲁⲣⲧⲟⲥ
ⲙⲛⲧⲁⲡⲓⲥⲧⲟⲥ	ⲙⲛⲧ|ⲁⲡⲓⲥⲧⲟⲥ
ⲙⲛⲧⲁⲡⲟⲥⲧⲟⲗⲟⲥ	ⲙⲛⲧ|ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
ⲙⲛⲧⲁⲡⲟⲥⲧⲟⲥ	ⲙⲛⲧ|ⲁⲡⲟⲥⲧⲟⲥ
ⲙⲛⲧⲁⲡⲟⲧⲁⲕⲧⲓⲕⲟⲥ	ⲙⲛⲧ|ⲁⲡⲟⲧⲁⲕⲧⲓⲕⲟⲥ
ⲙⲛⲧⲁⲧϩⲏⲧ	ⲙⲛⲧ|ⲁⲧ|ϩⲏⲧ
ⲙⲛⲧⲁⲧϩⲛⲁⲁⲩ	ⲙⲛⲧ|ⲁⲧ|ϩⲛⲁⲁⲩ
ⲙⲛⲧⲁⲧⲁⲙⲁϩⲧⲉ	ⲙⲛⲧ|ⲁⲧ|ⲁⲙⲁϩⲧⲉ
ⲙⲛⲧⲁⲧⲛⲁϩⲧⲉ	ⲙⲛⲧ|ⲁⲧ|ⲛⲁϩⲧⲉ
ⲙⲛⲧⲁⲧⲛⲟⲩⲧⲉ	ⲙⲛⲧ|ⲁⲧ|ⲛⲟⲩⲧⲉ
ⲙⲛⲧⲁⲧⲥⲃⲃⲉ	ⲙⲛⲧ|ⲁⲧ|ⲥⲃⲃⲉ
ⲙⲛⲧⲁⲧⲥⲃⲱ	ⲙⲛⲧ|ⲁⲧ|ⲥⲃⲱ
ⲙⲛⲧⲁⲧⲥⲟⲟⲩⲛ	ⲙⲛⲧ|ⲁⲧ|ⲥⲟⲟⲩⲛ
ⲙⲛⲧⲁⲧⲥⲱⲧⲙ	ⲙⲛⲧ|ⲁⲧ|ⲥⲱⲧⲙ
ⲙⲛⲧⲃⲁⲃⲉⲣⲱⲙⲉ	ⲙⲛⲧ|ⲃⲁⲃⲉ|ⲣⲱⲙⲉ
ⲙⲛⲧⲃⲗⲗⲉ	ⲙⲛⲧ|ⲃⲗⲗⲉ
ⲙⲛⲧⲕⲁⲑⲁⲣⲟⲥ	ⲙⲛⲧ|ⲕⲁⲑⲁⲣⲟⲥ
ⲙⲛⲧⲕⲟⲩⲓ	ⲙⲛⲧ|ⲕⲟⲩⲓ
ⲙⲛⲧⲗⲏⲥⲧⲏⲥ	ⲙⲛⲧ|ⲗⲏⲥⲧⲏⲥ
ⲙⲛⲧⲙⲁⲓ	ⲙⲛⲧ|ⲙⲁⲓ
ⲙⲛⲧⲙⲁⲓⲛⲟⲩⲧⲉ	ⲙⲛⲧ|ⲙⲁⲓ|ⲛⲟⲩⲧⲉ
ⲙⲛⲧⲙⲛⲧⲣⲉ	ⲙⲛⲧ|ⲙⲛⲧⲣⲉ
ⲙⲛⲧⲙⲟⲛⲁⲭⲟⲥ	ⲙⲛⲧ|ⲙⲟⲛⲁⲭⲟⲥ
ⲙⲛⲧⲛⲁ	ⲙⲛⲧ|ⲛⲁ
